"paper_id","doi","title","year","venue","scis_rank","f1_provisional","preprint_paper"
"doi:10.1186/s12873-026-01540-9","10.1186/s12873-026-01540-9","DispatchMAS: fusing taxonomy and artificial intelligence agents for emergency medical services","2026","BMC Emergency Medicine","Not found","Evaluation Research","published"
"doi:10.1186/s40594-025-00592-w","10.1186/s40594-025-00592-w","Tool, tutor, or crutch?: A grounded theory of cognitive scaffolding and offloading in AI-assisted programming education","2026","International Journal of Stem Education","Not found","Evaluation Research","published"
"doi:10.1007/s00766-026-00457-w","10.1007/s00766-026-00457-w","Addressing trust requirements in the design of an open-source multi-agent LLM-based domain-specific chatbot","2026","Requirements Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3777904","10.1145/3777904","Programming Challenges and Perceptions: A Study of Separate Groups before and after the Release of ChatGPT","2026","ACM Transactions on Computing Education","B","Evaluation Research","published"
"doi:10.1145/3779296","10.1145/3779296","LLMs Integration in Software Engineering Team Projects: Roles, Impact, and a Pedagogical Design Space for AI Tools in Computing Education","2026","ACM Trans. Comput. Educ.","Not found","Evaluation Research","published"
"doi:10.1016/j.giq.2026.102128","10.1016/j.giq.2026.102128","Positioning public sector practitioners as ‘moral crumple zones’: Mechanisms in the early use of generative AI work support tools","2026","Government Information Quarterly","Not found","Evaluation Research","published"
"doi:10.1007/s10664-025-10758-3","10.1007/s10664-025-10758-3","LLMs as Hackers: Autonomous Linux Privilege Escalation Attacks","2026","Empirical Software Engineering","A*","Evaluation Research","published"
"doi:10.1007/s10664-026-10813-7","10.1007/s10664-026-10813-7","Can generative AI bridge the gap? A quasi-experimental study of non-programmers with AI vs. programmers without AI","2026","Empirical Software Engineering","A*","Evaluation Research","published"
"doi:10.1016/j.jss.2025.112727","10.1016/j.jss.2025.112727","An empirical study on low-code programming using traditional vs large language model support","2026","Journal of Systems and Software","A","Evaluation Research","published"
"doi:10.5815/ijmecs.2026.02.05","10.5815/ijmecs.2026.02.05","Quality Evaluation of Indonesian Student-generated User Stories: Insight from Human and ChatGPT Evaluation","2026","International Journal of Modern Education and Computer Science","Not found","Evaluation Research","published"
"doi:10.3390/computers15030154","10.3390/computers15030154","Human–AI Collaboration in Programming Education: Student Perspectives on LLM-Based Coding Assistants","2026","Computers","Not found","Evaluation Research","published"
"doi:10.1016/j.jss.2025.112685","10.1016/j.jss.2025.112685","Automated end-to-end testing for conversational agents","2026","Journal of Systems and Software","A","Evaluation Research","published"
"doi:10.1145/3742475","10.1145/3742475","ComCat: Expertise-Guided Context Generation to Enhance Code Comprehension","2026","ACM Trans. Softw. Eng. Methodol.","A*","Evaluation Research","published"
"doi:10.1145/3735553","10.1145/3735553","Large Language Models for Automated Web-Form-Test Generation: An Empirical Study","2026","ACM Transactions on Software Engineering and Methodology","A*","Evaluation Research","published"
"doi:10.1002/cae.70177","10.1002/cae.70177","Integrating GenAI Tools Into Software Engineering Education","2026","Computer Applications in Engineering Education","Not found","Evaluation Research","published"
"doi:10.1021/acsomega.5c12654","10.1021/acsomega.5c12654","Generative AI Driven Process Calculations for Fuel Cells and Flow Batteries","2026","ACS Omega","Not found","Evaluation Research","published"
"doi:10.1145/3770762.3772668","10.1145/3770762.3772668","A ‘watch your replay videos’ Reflection Assignment on Comparing Programming without versus with Generative AI: Learning about Programming, Critical AI Use and Limitations, and Reflection","2026","SIGCSE TS 2026 Proceedings of the 57th ACM Technical Symposium on Computer Science Education V 1","Not found","Evaluation Research","published"
"doi:10.1145/3770762.3772662","10.1145/3770762.3772662","Owlgorithm: Supporting Self-Regulated Learning in Competitive Programming through LLM-Driven Reflection","2026","SIGCSE TS 2026 Proceedings of the 57th ACM Technical Symposium on Computer Science Education V 1","Not found","Evaluation Research","published"
"doi:10.3390/systems14020153","10.3390/systems14020153","Stage-Aware Governance of Large Language Models: Managing Uncertainty and Human Oversight in AI-Assisted Literature Review Systems","2026","Systems","Not found","Evaluation Research","published"
"doi:10.3390/app16042120","10.3390/app16042120","AgoraAI: An Open-Source Voice-to-Voice Framework for Multi-Persona and Multi-Human Interaction","2026","Applied Sciences Switzerland","Not found","Evaluation Research","published"
"doi:10.3390/electronics15040903","10.3390/electronics15040903","Prompt-Driven Development with Claude Code: Developing a TUI Framework for the Ring Programming Language","2026","Electronics Switzerland","Not found","Evaluation Research","published"
"doi:10.59543/gk2qp136","10.59543/gk2qp136","AI Pair Programming and Knowledge Sharing in Developer Communities","2026","Journal of Intelligent Decision Making and Information Science","Not found","Evaluation Research","published"
"doi:10.1109/tse.2026.3659293","10.1109/TSE.2026.3659293","Human Cognitive Pattern Simulation for Crowdsourced Test Report Consistency Detection","2026","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/ms.2026.3671677","10.1109/MS.2026.3671677","AI-assisted Collaboration: Exploring Developer Experience with GitHub Copilot and Windsurf","2026","IEEE Software","B","Evaluation Research","published"
"doi:10.1109/tse.2026.3663093","10.1109/TSE.2026.3663093","Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study","2026","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/access.2026.3663331","10.1109/ACCESS.2026.3663331","Prompt Engineering for Advancing Software Engineering: Using Generative Language Models in the Development of Domain-Specific Languages","2026","IEEE Access","A","Evaluation Research","published"
"doi:10.18267/j.aip.282","10.18267/j.aip.282","Data Science Framework for Adaptive Expert Systems: Psychological Profiling and Knowledge Fusion in Higher Education","2026","Acta Informatica Pragensia","Not found","Evaluation Research","published"
"doi:10.12688/openreseurope.22009.1","10.12688/openreseurope.22009.1","How generative AI is shaping research software development and maintenance at a research-intensive university","2026","Open Research Europe","Not found","Evaluation Research","published"
"doi:10.1109/ms.2026.3668669","10.1109/MS.2026.3668669","From User Stories to Architectures: Using LLM-powered Agents to Design and Improve Microservice-based Software","2026","IEEE Software","B","Evaluation Research","published"
"doi:10.1109/ms.2025.3644903","10.1109/MS.2025.3644903","Is ChatGPT-Generated Code Really Green?: Evaluating AI-Generated Solutions for Energy-Efficient Coding Practices","2026","IEEE Software","B","Evaluation Research","published"
"doi:10.1109/tse.2025.3632765","10.1109/TSE.2025.3632765","How Can ChatGPT Support Human Security Testers to Help Mitigate Supply Chain Attacks?","2026","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/tase.2026.3673004","10.1109/TASE.2026.3673004","Learning to Tune Like an Expert: Interpretable and Scene-Aware Navigation via MLLM Reasoning and CVAE-Based Adaptation","2026","IEEE Transactions on Automation Science and Engineering","A*","Evaluation Research","published"
"doi:10.5152/electrica.2026.25033","10.5152/electrica.2026.25033","Enhancing Software Development with Large Language Models: A Case Study of Kolay.ai","2026","Electrica","Not found","Evaluation Research","published"
"doi:10.1109/access.2026.3671629","10.1109/ACCESS.2026.3671629","A Business Process-Centric Approach for LLM-Driven Functional Test Generation","2026","IEEE Access","A","Evaluation Research","published"
"doi:10.1109/tse.2026.3651566","10.1109/TSE.2026.3651566","Identifying and Mitigating API Misuse in Large Language Models","2026","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/te.2025.3646934","10.1109/TE.2025.3646934","CliCFPGA: Leveraging FPGA Education and Research Through Collaborative and Low-Code Heterogeneous Platform","2026","IEEE Transactions on Education","B","Evaluation Research","published"
"doi:10.3390/app16020723","10.3390/app16020723","Hybrid Usability Evaluation of an Automotive REM Tool: Human and LLM-Based Heuristic Assessment of IBM Doors Next","2026","Applied Sciences Switzerland","Not found","Evaluation Research","published"
"doi:10.1109/ms.2025.3621128","10.1109/MS.2025.3621128","Using LLMs to Bridge the Gaps in QA Test Plans at Firefox","2026","IEEE Software","B","Evaluation Research","published"
"doi:10.1109/tse.2026.3658163","10.1109/TSE.2026.3658163","Improving Gas Efficiency in Smart Contracts: Data-Driven Insights and LLM-Assisted Remediation","2026","IEEE Transactions on Software Engineering","A*","Evaluation Research","published"
"doi:10.1109/ms.2026.3667154","10.1109/MS.2026.3667154","Trust But Verify: Analyzing the Trade-offs of AI-Generated Code","2026","IEEE Software","B","Evaluation Research","published"
"doi:10.1002/kpm.70060","10.1002/kpm.70060","Exploring Academics' Orientation Towards Large Language Model Adoption: A Knowledge Management Approach Using ChatGPT and Retrieval-Augmented Generation","2026","Knowledge and Process Management","Not found","Evaluation Research","published"
"doi:10.1609/aaai.v40i47.41475","10.1609/aaai.v40i47.41475","NOVAID: Natural-language Observability Visualization Assistant for ITOps Dashboard Widget Generation","2026","Proceedings of the Aaai Conference on Artificial Intelligence","Not found","Evaluation Research","published"
"doi:10.1177/21582440251413066","10.1177/21582440251413066","Exploring How to Improve Programming Learning Experience with Generative AI Tools: An Integrated Means-End Chain and fsQCA Approach","2026","Sage Open","Not found","Evaluation Research","published"
"doi:10.14569/ijacsa.2025.0161272","10.14569/IJACSA.2025.0161272","Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments","2025","International Journal of Advanced Computer Science and Applications","Not found","Evaluation Research","published"
"doi:10.1145/3773274.3774686","10.1145/3773274.3774686","LLM4FaaS: No-Code Application Development using LLMs and FaaS","2026","Proceedings of the 18th IEEE/ACM International Conference on Utility and Cloud Computing","Not found","Evaluation Research","published"
"doi:10.1145/3769694.3771107","10.1145/3769694.3771107","Not All Chatbots Teach: Evidence for Pedagogical Design in AI-Assisted Technical Education","2025","ACM Sigcite 2025 Proceedings of the 26th ACM Annual Conference on Cybersecurity and Information Technology Education","Not found","Evaluation Research","published"
"doi:10.1145/3769694.3771128","10.1145/3769694.3771128","ChatGPT in Introductory Programming: Counterbalanced Evaluation of Code Quality, Conceptual Learning, and Student Perceptions","2025","ACM Sigcite 2025 Proceedings of the 26th ACM Annual Conference on Cybersecurity and Information Technology Education","Not found","Evaluation Research","published"
"doi:10.1145/3756681.3757081","10.1145/3756681.3757081","Paradigm shift on Coding Productivity Using GenAI","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease 2025","Not found","Evaluation Research","published"
"doi:10.1145/3756681.3756938","10.1145/3756681.3756938","Do Prompt Patterns Affect Code Quality? A First Empirical Assessment of ChatGPT-Generated Code","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease 2025","Not found","Evaluation Research","published"
"doi:10.1145/3727967.3756830","10.1145/3727967.3756830","A friend or a foe? Evaluating ChatGPT's Impact on Students' Computational Thinking Skills","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease Companion 2025","Not found","Evaluation Research","published"
"doi:10.1145/3774752","10.1145/3774752","Evaluating AI Models for Autograding Explain in Plain English Questions: Challenges and Considerations","2025","ACM Trans. Interact. Intell. Syst.","Not found","Evaluation Research","published"
"doi:10.1007/s40747-025-02051-z","10.1007/s40747-025-02051-z","Collaborative LLM agents for flexible software development of intelligent industrial robot control systems","2025","Complex and Intelligent Systems","B","Evaluation Research","published"
"doi:10.1007/s10257-025-00704-7","10.1007/s10257-025-00704-7","Managing expectations towards AI tools for software development: a multiple-case study","2025","Information Systems and E Business Management","B","Evaluation Research","published"
"doi:10.1038/s41598-025-98378-1","10.1038/s41598-025-98378-1","Testing the limits of large language models in debating humans","2025","Scientific Reports","A","Evaluation Research","published"
"doi:10.1016/j.jss.2025.112541","10.1016/j.jss.2025.112541","LLMs and Stack Overflow discussions: Reliability, impact, and challenges","2025","Journal of Systems and Software","A","Evaluation Research","published"
"doi:10.3390/app152413185","10.3390/app152413185","Temporal Dynamics of Harmful Speech in Chatbot–User Dialogues: A Comparative Study of LLM and Chit-Chat Systems","2025","Applied Sciences Switzerland","Not found","Evaluation Research","published"
"doi:10.1007/s10664-025-10730-1","10.1007/s10664-025-10730-1","Continuance use of AI coding assistants among South Korean Industry Developers: A survey case study with large language models","2025","Empirical Software Engineering","A*","Evaluation Research","published"
"doi:10.14569/ijacsa.2025.0161190","10.14569/IJACSA.2025.0161190","AI in Web Development: A Comparative Study of Traditional Coding and LLM-Based Low-Code Platforms","2025","International Journal of Advanced Computer Science and Applications","Not found","Evaluation Research","published"
"doi:10.1145/3769994.3769997","10.1145/3769994.3769997","Designing for Novice Debuggers: A Pilot Study on an AI-Assisted Debugging Tool","2025","Proceedings of the 25th Koli Calling International Conference on Computing Education Research","Not found","Evaluation Research","published"
"doi:10.1145/3769994.3770029","10.1145/3769994.3770029","Evolution of Programmers' Trust in Generative AI Programming Assistants","2025","Proceedings of the 25th Koli Calling International Conference on Computing Education Research","Not found","Evaluation Research","published"
"doi:10.1145/3694907.3765933","10.1145/3694907.3765933","RealitySummary: Exploring On-Demand Mixed Reality Text Summarization and Question Answering using Large Language Models","2025","Proceedings of the 2025 ACM Symposium on Spatial User Interaction","Not found","Evaluation Research","published"
"doi:10.1016/j.infsof.2025.107832","10.1016/j.infsof.2025.107832","Assisting early-stage software startups with LLMs: Effective prompt engineering and system instruction design","2025","Information and Software Technology","A","Evaluation Research","published"
"doi:10.3390/computers14110501","10.3390/computers14110501","AutoQALLMs: Automating Web Application Testing Using Large Language Models (LLMs) and Selenium","2025","Computers","Not found","Evaluation Research","published"
"doi:10.1145/3663547.3759729","10.1145/3663547.3759729","Accessibility Heuristics for Vibe Coding Interfaces","2025","Assets 2025 Proceedings of the 27th International ACM Sigaccess Conference on Computers and Accessibility","Not found","Evaluation Research","published"
"doi:10.1145/3733237","10.1145/3733237","LLM-assisted Bug Identification and Correction for Verilog HDL","2025","ACM Trans. Des. Autom. Electron. Syst.","Not found","Evaluation Research","published"
"doi:10.1145/3744257.3744266","10.1145/3744257.3744266","When LLM-Generated Code Perpetuates User Interface Accessibility Barriers, How Can We Break the Cycle?","2025","Proceedings of the 22nd International Web for All Conference","Not found","Evaluation Research","published"
"doi:10.1145/3750069.3750397","10.1145/3750069.3750397","Eyes on the Code: Mapping Critical Thinking Through Eye-Tracking for Student-LLM Coding Interactions","2025","Chitaly 2025 Proceedings of the 16th Biannual Conference of the Italian Sigchi Chapter","Not found","Evaluation Research","published"
"doi:10.1145/3750069.3750103","10.1145/3750069.3750103","Towards Human-Centered RAG: A Study of AI-Supported Testing Practices in Italian Public Administration","2025","Chitaly 2025 Proceedings of the 16th Biannual Conference of the Italian Sigchi Chapter","Not found","Evaluation Research","published"
"doi:10.1145/3745900.3746089","10.1145/3745900.3746089","Augmented Body Communicator: Enhancing daily body expression for people with upper limb limitations through LLM and a robotic arm","2025","Proceedings of the Augmented Humans International Conference 2025","Not found","Evaluation Research","published"
"doi:10.1145/3744335.3758482","10.1145/3744335.3758482","Vibe Coding in Practice: Building a Driving Simulator Without Expert Programming Skills","2025","Adjunct Conference Proceedings 17th International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications Automotiveui 2025","Not found","Evaluation Research","published"
"doi:10.1145/3716848","10.1145/3716848","Security Weaknesses of Copilot-Generated Code in GitHub Projects: An Empirical Study","2025","ACM Trans. Softw. Eng. Methodol.","A*","Evaluation Research","published"
"doi:10.1145/3721127","10.1145/3721127","Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of LLMs","2025","ACM Transactions on Software Engineering and Methodology","A*","Evaluation Research","published"
"doi:10.3390/data10100156","10.3390/data10100156","Automated Test Generation Using Large Language Models","2025","Data","Not found","Evaluation Research","published"
"doi:10.5815/ijmecs.2025.05.07","10.5815/ijmecs.2025.05.07","Local Agentic RAG-Based Information System Development for Intelligent Analysis of GitHub Code Repositories in Computer Science Education","2025","International Journal of Modern Education and Computer Science","Not found","Evaluation Research","published"
"doi:10.29207/resti.v9i5.6950","10.29207/resti.v9i5.6950","Student-Generated User Story Quality: A Study on Practitioner and ChatGPT Evaluation","2025","Jurnal Resti","Not found","Evaluation Research","published"
"doi:10.3390/app151910403","10.3390/app151910403","CodeDive: A Web-Based IDE with Real-Time Code Activity Monitoring for Programming Education","2025","Applied Sciences Switzerland","Not found","Evaluation Research","published"
"doi:10.1145/3746059.3747689","10.1145/3746059.3747689","ViseGPT: Towards Better Alignment of LLM-generated Data Wrangling Scripts and User Prompts","2025","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","Not found","Evaluation Research","published"
"doi:10.1145/3746059.3747625","10.1145/3746059.3747625","Steering Semantic Data Processing With DocWrangler","2025","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","Not found","Evaluation Research","published"
"doi:10.1145/3746059.3747778","10.1145/3746059.3747778","Semantic Commit: Helping Users Update Intent Specifications for AI Memory at Scale","2025","Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology","Not found","Evaluation Research","published"
"doi:10.1145/3743703","10.1145/3743703","From Overwhelmed to Overview: Understanding Smartphone Users' Preferences and Expectations in Relieving Notification Overload via Text Summarization","2025","Proc. ACM Hum.-Comput. Interact.","Not found","Evaluation Research","published"
"doi:10.1145/3749513","10.1145/3749513","Vinci: A Real-time Smart Assistant Based on Egocentric Vision-language Model for Portable Devices","2025","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","Not found","Evaluation Research","published"
"doi:10.1016/j.ijhcs.2025.103555","10.1016/j.ijhcs.2025.103555","“This is human intelligence debugging artificial intelligence”: Examining how people prompt GPT in seeking mental health support","2025","International Journal of Human Computer Studies","A","Evaluation Research","published"
"doi:10.3390/higheredu4030031","10.3390/higheredu4030031","Exploring the Impact of LLM Prompting on Students’ Learning","2025","Trends in Higher Education","Not found","Evaluation Research","published"
"doi:10.3390/fi17090418","10.3390/fi17090418","Refactoring Loops in the Era of LLMs: A Comprehensive Study","2025","Future Internet","Not found","Evaluation Research","published"
"doi:10.1145/3715007","10.1145/3715007","An Empirical Study on Challenges for LLM Application Developers","2025","ACM Trans. Softw. Eng. Methodol.","A*","Evaluation Research","published"
"doi:10.1145/3716167","10.1145/3716167","Towards Reliable Evaluation of Neural Program Repair with Natural Robustness Testing","2025","ACM Transactions on Software Engineering and Methodology","A*","Evaluation Research","published"
"doi:10.1002/spe.3432","10.1002/spe.3432","NoCodeGPT: A No-Code Interface for Building Web Apps With Language Models","2025","Software Practice and Experience","B","Evaluation Research","published"
"doi:10.1145/3696630.3727235","10.1145/3696630.3727235","""Person is a person, a tool is a tool"" - ChatGPT’s Role in Student Help-Seeking Behavior and Peer Support","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3731667","10.1145/3696630.3731667","Why Do Software Practitioners Use ChatGPT for Software Development Tasks?","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728698","10.1145/3696630.3728698","How Well Do ChatGPT Models Maintain Software?","2025","Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3727244","10.1145/3696630.3727244","A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3730566","10.1145/3696630.3730566","Human-AI Collaboration in Software Development: A Mixed-Methods Study of Developers’ Use of GitHub Copilot and ChatGPT","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728552","10.1145/3696630.3728552","BitsAI-CR: Automated Code Review via LLM in Practice","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728559","10.1145/3696630.3728559","Using Large Language Models to Support the Workflow of Differential Testing","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728541","10.1145/3696630.3728541","Natural Language Outlines for Code: Literate Programming in the LLM Era","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728611","10.1145/3696630.3728611","A Multi-agent Onboarding Assistant based on Large Language Models, Retrieval Augmented Generation, and Chain-of-Thought","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728533","10.1145/3696630.3728533","From Prompts to Templates: A Systematic Prompt Template Analysis for Real-world LLMapps","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728547","10.1145/3696630.3728547","LLM-Augmented Ticket Aggregation for Low-cost Mobile OS Defect Resolution","2025","Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3696630.3728718","10.1145/3696630.3728718","Challenges and Opportunities for Generative AI in Software Engineering: A Managerial View","2025","Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering","Not found","Evaluation Research","published"
"doi:10.1145/3698205.3733960","10.1145/3698205.3733960","The GPT Surprise: Offering Large Language Model Chat in a Massive Coding Class Reduced Engagement But May Increase Adopters' Exam Performances","2025","L@s 2025 Proceedings of the 12th ACM Conference on Learning @ Scale","Not found","Evaluation Research","published"
"doi:10.1145/3726302.3729960","10.1145/3726302.3729960","Efficiency and Effectiveness of LLM-Based Summarization of Evidence in Crowdsourced Fact-Checking","2025","SIGIR 2025 Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval","A*","Evaluation Research","published"
"doi:10.1145/3719160.3736625","10.1145/3719160.3736625","Outcomes, Perceptions, and Interaction Strategies of Novice Programmers Studying with ChatGPT","2025","Cui 2025 Proceedings of the 2025 ACM Conference on Conversational User Interfaces","Not found","Evaluation Research","published"
"doi:10.1145/3708518","10.1145/3708518","Explaining Explanations: An Empirical Study of Explanations in Code Reviews","2025","ACM Transactions on Software Engineering and Methodology","A*","Evaluation Research","published"
"doi:10.3390/info16070565","10.3390/info16070565","A Student-Centric Evaluation Survey to Explore the Impact of LLMs on UML Modeling","2025","Information Switzerland","Not found","Evaluation Research","published"
"doi:10.1016/j.infsof.2025.107751","10.1016/j.infsof.2025.107751","Copiloting the future: How generative AI transforms Software Engineering","2025","Information and Software Technology","A","Evaluation Research","published"
"doi:10.1145/3724363.3729096","10.1145/3724363.3729096","Quack the Code: A Computer Game Show Offers Learning Through Teaching AI in Undergraduate Software Engineering","2025","Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 1","Not found","Evaluation Research","published"
"doi:10.1145/3707640.3731915","10.1145/3707640.3731915","Investigating the Impact of AI-Assisted Tools on Software Practitioner Well-Being","2025","Adjunct Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work","Not found","Evaluation Research","published"
"doi:10.1145/3729176.3729197","10.1145/3729176.3729197","tAIfa: Enhancing Team Effectiveness and Cohesion with AI-Generated Automated Feedback","2025","Chiwork 2025 Proceedings of the 4th Annual Symposium on Human Computer Interaction for Work","Not found","Evaluation Research","published"
"doi:10.1145/3708319.3733810","10.1145/3708319.3733810","Towards the Embodied Conversational Interview Agentic Service ELIAS: Development and Evaluation of a First Prototype","2025","Umap 2025 Adjunct Proceedings of the 33rd ACM Conference on User Modeling Adaptation and Personalization","Not found","Evaluation Research","published"
"doi:10.1007/s10664-025-10614-4","10.1007/s10664-025-10614-4","Bugs in large language models generated code: an empirical study","2025","Empirical Software Engineering","A*","Evaluation Research","published"
"doi:10.1016/j.caeai.2024.100347","10.1016/j.caeai.2024.100347","AI-enhanced interview simulation in the metaverse: Transforming professional skills training through VR and generative conversational AI","2025","Computers and Education Artificial Intelligence","A*","Evaluation Research","published"
"doi:10.3390/app15126836","10.3390/app15126836","Impact of Developer Queries on the Effectiveness of Conversational Large Language Models in Programming","2025","Applied Sciences Switzerland","Not found","Evaluation Research","published"
"doi:10.15587/2706-5448.2025.326899","10.15587/2706-5448.2025.326899","DETERMINING THE CAPABILITIES OF GENERATIVE ARTIFICIAL INTELLIGENCE TOOLS TO INCREASE THE EFFICIENCY OF REFACTORING PROCESS","2025","Technology Audit and Production Reserves","Not found","Evaluation Research","published"
"doi:10.1145/3712005","10.1145/3712005","The Current Challenges of Software Engineering in the Era of Large Language Models","2025","ACM Transactions on Software Engineering and Methodology","A*","Evaluation Research","published"
"doi:10.1145/3722229","10.1145/3722229","Nurturing Code Quality: Leveraging Static Analysis and Large Language Models for Software Quality in Education","2025","ACM Trans. Comput. Educ.","Not found","Evaluation Research","published"
"doi:10.1108/itp-01-2023-0084","10.1108/ITP-01-2023-0084","AI in software programming: understanding emotional responses to GitHub Copilot","2025","Information Technology and People","Not found","Evaluation Research","published"
"doi:10.1145/3672608.3707778","10.1145/3672608.3707778","My Code Is Less Secure with Gen AI: Surveying Developers' Perceptions of the Impact of Code Generation Tools on Security","2025","Proceedings of the ACM Symposium on Applied Computing","Not found","Evaluation Research","published"
"doi:10.1145/3710927","10.1145/3710927","'Always Nice and Confident, Sometimes Wrong': Developer's Experiences Engaging Generative AI Chatbots Versus Human-Powered Q&amp;A Platforms","2025","Proc. ACM Hum.-Comput. Interact.","Not found","Evaluation Research","published"
"doi:10.1016/j.measen.2024.101701","10.1016/j.measen.2024.101701","Study on the use of ChatGPT for generating code for web-based augmented reality applications","2025","Measurement Sensors","Not found","Evaluation Research","published"
"doi:10.1007/s10515-025-00492-x","10.1007/s10515-025-00492-x","A study on prompt design, advantages and limitations of ChatGPT for deep learning program repair","2025","Automated Software Engineering","B","Evaluation Research","published"
"doi:10.1007/s10664-025-10658-6","10.1007/s10664-025-10658-6","Do LLMs consider security? an empirical study on responses to programming questions","2025","Empirical Software Engineering","A*","Evaluation Research","published"
"doi:10.1145/3706598.3713600","10.1145/3706598.3713600","AppAgent: Multimodal Agents as Smartphone Users","2025","Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1145/3706598.3713852","10.1145/3706598.3713852","Exploring Personalized Health Support through Data-Driven, Theory-Guided LLMs: A Case Study in Sleep Health","2025","Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1145/3706598.3713705","10.1145/3706598.3713705","AI on My Shoulder: Supporting Emotional Labor in Front-Office Roles with an LLM-based Empathetic Coworker","2025","Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1145/3706598.3713335","10.1145/3706598.3713335","CodeA11y: Making AI Coding Assistants Useful for Accessible Web Development","2025","Conference on Human Factors in Computing Systems Proceedings","Not found","Evaluation Research","published"
"doi:10.1145/3706598.3713989","10.1145/3706598.3713989","Exploring the Impact of Intervention Methods on Developers’ Security Behavior in a Manipulated ChatGPT Study","2025","Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1145/3706598.3713581","10.1145/3706598.3713581","Interactive Debugging and Steering of Multi-Agent AI Systems","2025","Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1145/3706599.3720193","10.1145/3706599.3720193","Inspo: Writing with Crowds Alongside AI","2025","Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1145/3706599.3706670","10.1145/3706599.3706670","Examining the Use and Impact of an AI Code Assistant on Developer Productivity and Experience in the Enterprise","2025","Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1145/3706598.3714008","10.1145/3706598.3714008","The Impact of Generative AI Coding Assistants on Developers Who Are Visually Impaired","2025","Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems","A*","Evaluation Research","published"
"doi:10.1609/aaai.v39i27.35063","10.1609/aaai.v39i27.35063","Trustworthy and Practical AI for Healthcare: A Guided Deferral System with Large Language Models","2025","Proceedings of the Aaai Conference on Artificial Intelligence","Not found","Evaluation Research","published"
